Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
WBHW,01-03-2006  3:00:00 AM,25cm,0.1115,,
WBHW,01-03-2006  3:00:00 AM,10cm,0.13398,0.73,
WBHW,01-03-2006  3:00:00 AM,vertical,0.16495,,
WBHW,01-03-2006  3:00:00 PM,25cm,0.10938,,
WBHW,01-03-2006  3:00:00 PM,10cm,0.13229,0.29,
WBHW,01-03-2006  3:00:00 PM,vertical,0.16368,,
WBHW,01-03-2006  6:00:00 AM,25cm,0.11108,,
WBHW,01-03-2006  6:00:00 AM,10cm,0.13313,0.73,
WBHW,01-03-2006  6:00:00 AM,vertical,0.16495,,
WBHW,01-03-2006  6:00:00 PM,25cm,0.10938,,
WBHW,01-03-2006  6:00:00 PM,10cm,0.13144,0.29,
WBHW,01-03-2006  6:00:00 PM,vertical,0.16495,,
WBHW,01-03-2006  9:00:00 AM,25cm,0.11108,,
WBHW,01-03-2006  9:00:00 AM,10cm,0.13313,0.73,
WBHW,01-03-2006  9:00:00 AM,vertical,0.16495,,
WBHW,01-03-2006  9:00:00 PM,25cm,0.10895,,
WBHW,01-03-2006  9:00:00 PM,10cm,0.13186,0.29,
WBHW,01-03-2006  9:00:00 PM,vertical,0.16707,,
WBHW,01-03-2007  12:00:00 AM,25cm,,,
WBHW,01-03-2007  12:00:00 AM,10cm,,,
WBHW,01-03-2007  12:00:00 PM,25cm,,,
WBHW,01-03-2007  12:00:00 PM,10cm,,,
WBHW,01-03-2007  3:00:00 AM,25cm,,,
WBHW,01-03-2007  3:00:00 AM,10cm,,,
WBHW,01-03-2007  3:00:00 PM,25cm,,,
WBHW,01-03-2007  3:00:00 PM,10cm,,,
WBHW,01-03-2007  6:00:00 AM,25cm,,,
WBHW,01-03-2007  6:00:00 AM,10cm,,,
WBHW,01-03-2007  6:00:00 PM,25cm,,,
WBHW,01-03-2007  6:00:00 PM,10cm,,,
WBHW,01-03-2007  9:00:00 AM,25cm,,,
WBHW,01-03-2007  9:00:00 AM,10cm,,,
WBHW,01-03-2007  9:00:00 PM,25cm,,,
